n;319
m;4
tmax;5261.25
63;71;0
94;71;1
142;370;7
173;1276;25
205;1213;24
213;69;4
244;69;4
276;630;13
283;732;15
362;69;7
394;69;7
449;370;10
480;1276;26
512;1213;25
528;157;10
583;630;16
591;732;18
638;654;17
638;496;15
638;314;13
638;142;12
669;142;13
677;315;14
677;496;16
677;654;18
709;654;18
709;496;16
709;315;15
701;142;14
764;220;15
811;189;16
843;173;17
858;370;18
890;1276;30
921;1213;30
992;630;23
1000;732;24
1197;1276;34
1228;1213;34
1276;205;25
1299;630;28
1307;732;29
1362;654;29
1362;496;28
1362;291;27
1425;654;31
1425;496;30
1425;291;29
1417;173;28
1488;291;30
1488;496;31
1488;654;32
1551;654;33
1551;496;32
1551;291;31
1614;291;32
1614;496;33
1614;654;34
1732;189;35
1811;1276;44
1843;1213;44
1913;630;40
1921;732;41
2087;370;42
2118;1276;49
2150;1213;49
2189;205;44
2220;189;44
2220;630;46
2228;732;47
2244;142;45
2276;315;46
2276;496;46
2276;654;47
2315;654;48
2315;496;47
2315;315;47
2331;142;47
2346;315;47
2346;496;48
2346;654;48
2362;142;47
2402;157;48
2402;220;48
2480;142;50
2496;370;50
2528;1276;56
2559;1213;56
2630;630;54
2638;732;55
2756;69;55
2787;69;56
2803;370;57
2835;1276;62
2866;1213;62
2906;69;58
2937;69;59
2937;630;60
2945;732;61
3016;1276;65
3055;69;61
3087;69;62
606;220;12
1165;370;24
1780;370;36
63;1402;28
94;1402;28
142;1701;34
173;2607;52
205;2544;51
213;1400;28
244;1400;28
276;1961;39
283;2063;41
362;1400;28
394;1400;28
449;1701;35
480;2607;53
512;2544;52
528;1488;31
583;1961;40
591;2063;42
638;1985;41
638;1827;38
638;1645;35
638;1473;31
669;1473;32
677;1646;35
677;1827;38
677;1985;41
709;1985;42
709;1827;39
709;1646;35
701;1473;32
764;1551;34
811;1520;34
843;1504;34
858;1701;37
890;2607;55
921;2544;54
992;1961;43
1000;2063;45
1197;2607;57
1228;2544;56
1276;1536;39
1299;1961;46
1307;2063;48
1362;1985;48
1362;1827;45
1362;1622;42
1425;1985;48
1425;1827;46
1425;1622;42
1417;1504;41
1488;1622;43
1488;1827;47
1488;1985;49
1551;1985;50
1551;1827;47
1551;1622;44
1614;1622;45
1614;1827;48
1614;1985;51
1732;1520;45
1811;2607;63
1843;2544;62
1913;1961;54
1921;2063;56
2087;1701;53
2118;2607;67
2150;2544;66
2189;1536;53
2220;1520;53
2220;1961;59
2228;2063;60
2244;1473;53
2276;1646;56
2276;1827;58
2276;1985;60
2315;1985;61
2315;1827;59
2315;1646;56
2331;1473;55
2346;1646;57
2346;1827;59
2346;1985;61
2362;1473;55
2402;1488;56
2402;1551;57
2480;1473;57
2496;1701;60
2528;2607;72
2559;2544;72
2630;1961;65
2638;2063;67
2756;1400;62
2787;1400;62
2803;1701;65
2835;2607;77
2866;2544;77
2906;1400;64
2937;1400;65
2937;1961;70
2945;2063;72
3016;2607;80
3055;1400;67
3087;1400;68
606;1551;33
1165;1701;41
1780;1701;49
63;2733;55
94;2733;55
142;3032;61
173;3938;79
205;3875;78
213;2731;55
244;2731;55
276;3292;66
283;3394;68
362;2731;55
394;2731;55
449;3032;61
480;3938;80
512;3875;78
528;2819;57
583;3292;67
591;3394;69
638;3316;68
638;3158;64
638;2976;61
638;2804;57
669;2804;57
677;2977;61
677;3158;65
677;3316;68
709;3316;68
709;3158;65
709;2977;61
701;2804;58
764;2882;59
811;2851;59
843;2835;59
858;3032;63
890;3938;81
921;3875;80
992;3292;69
1000;3394;71
1197;3938;82
1228;3875;81
1276;2867;63
1299;3292;71
1307;3394;73
1362;3316;72
1362;3158;69
1362;2953;65
1425;3316;72
1425;3158;69
1425;2953;65
1417;2835;63
1488;2953;66
1488;3158;70
1488;3316;73
1551;3316;73
1551;3158;70
1551;2953;66
1614;2953;67
1614;3158;71
1614;3316;74
1732;2851;66
1811;3938;87
1843;3875;86
1913;3292;76
1921;3394;78
2087;3032;73
2118;3938;90
2150;3875;89
2189;2867;72
2220;2851;72
2220;3292;79
2228;3394;81
2244;2804;72
2276;2977;75
2276;3158;78
2276;3316;80
2315;3316;81
2315;3158;78
2315;2977;75
2331;2804;73
2346;2977;76
2346;3158;79
2346;3316;81
2362;2804;73
2402;2819;74
2402;2882;75
2480;2804;75
2496;3032;78
2528;3938;94
2559;3875;93
2630;3292;84
2638;3394;86
2756;2731;78
2787;2731;78
2803;3032;83
2835;3938;97
2866;3875;97
2906;2731;80
2937;2731;80
2937;3292;88
2945;3394;90
3016;3938;100
3055;2731;82
3087;2731;82
606;2882;59
1165;3032;65
1780;3032;70
1417;-79;28
1496;-79;30
1693;4055;88
63;71;0
