n;201
m;4
tmax;3679.75
3140;1401;0
556;1056;56
3675;1522;97
1182;1853;38
3595;111;79
962;1895;20
2030;1186;61
3507;1851;2
2642;1269;43
3438;901;84
3858;1472;25
2937;1568;66
376;1018;7
839;1355;48
706;1925;89
749;920;30
298;615;71
694;552;12
387;190;53
2801;695;94
3133;1143;35
1517;266;76
1538;224;17
844;520;58
2639;1239;99
3123;217;40
2489;1520;81
3834;1827;22
3417;1808;63
2938;543;4
71;1323;45
3245;1828;86
731;1741;27
2312;1270;68
2426;1851;9
380;478;50
2310;635;91
2830;775;32
3829;513;73
3684;445;14
171;514;55
627;1261;96
1490;1123;37
61;81;78
422;542;19
2698;1221;60
2372;127;1
177;1390;42
3084;748;83
1213;910;24
3;1817;65
1782;995;6
3896;742;47
1829;812;88
1286;550;29
3017;108;70
2132;1432;11
2000;1110;52
3317;1966;93
1729;1498;34
2408;1747;75
3292;152;16
193;1210;57
782;1462;98
2503;352;39
1697;1924;80
3821;147;21
3370;791;62
3162;367;3
3938;516;44
2741;1583;85
2330;741;26
3918;1088;67
1794;1589;8
2929;485;49
3453;1998;90
896;705;31
399;850;72
2614;195;13
2800;653;54
2630;20;95
563;1513;36
1090;1652;77
2009;1163;18
3876;1165;59
3084;774;100
1526;1612;41
1612;328;82
1423;1322;23
3058;1276;64
3782;1865;5
347;252;46
3904;1444;87
2191;1579;28
3220;1454;69
468;319;10
3611;1968;51
3114;1629;92
3515;1892;33
3060;155;74
2995;264;15
202;233;56
981;848;97
1346;408;38
781;670;79
1009;1001;20
2927;1777;61
2982;949;2
555;1121;43
464;1302;84
3452;637;25
571;1982;66
2656;128;7
1623;1723;48
2067;694;89
1725;927;30
3600;459;71
1109;1196;12
366;339;53
778;1282;94
386;1616;35
3918;1217;76
3332;1049;17
2597;349;58
811;1295;99
241;1069;40
2658;360;81
394;1944;22
3786;1862;63
264;36;4
2050;1833;45
3538;125;86
1646;1817;27
2993;624;68
547;25;9
3373;1902;50
460;267;91
3060;781;32
1828;456;73
1021;962;14
2347;388;55
3535;1112;96
1529;581;37
1203;385;78
1787;1902;19
2740;1101;60
555;1753;1
47;363;42
3935;540;83
3062;329;24
387;199;65
2901;920;6
931;512;47
1766;692;88
401;980;29
149;1629;70
2214;1977;11
3805;1619;52
1179;969;93
1017;333;34
2834;1512;75
634;294;16
1819;814;57
1393;859;98
1768;1578;39
3023;871;80
3248;1906;21
1632;1742;62
2223;990;3
3868;697;44
1541;354;85
2374;1944;26
1962;389;67
3007;1524;8
3220;1945;49
2356;1568;90
1604;706;31
2028;1736;72
2581;121;13
2221;1578;54
2944;632;95
1082;1561;36
997;942;77
2334;523;18
1264;1090;59
1699;1294;100
235;1059;41
2592;248;82
3642;699;23
3599;514;64
1766;678;5
240;619;46
1272;246;87
3503;301;28
80;1533;69
1677;1238;10
3766;154;51
3946;459;92
1994;1852;33
278;165;74
3140;1401;0
