n;151
m;2
tmax;6631
1380;939;0
2848;96;56
3510;1671;97
457;334;38
3888;666;79
984;965;20
2721;1482;61
1286;525;2
2716;1432;43
738;1325;84
1251;1832;25
2728;1698;66
3815;169;7
3683;1533;48
1247;1945;89
123;862;30
1234;1946;71
252;1240;12
611;673;53
2576;1676;94
928;1700;35
53;857;76
1807;1711;17
274;1420;58
2574;946;99
178;24;40
2678;1825;81
1795;962;22
3384;1498;63
3520;1079;4
1256;61;45
1424;1728;86
3913;192;27
3085;1528;68
2573;1969;9
463;1670;50
3875;598;91
298;1513;32
3479;821;73
2542;236;14
3955;1743;55
1323;280;96
3447;1830;37
2936;337;78
1621;1830;19
3373;1646;60
1393;1368;1
3874;1318;42
938;955;83
3022;474;24
2482;1183;65
3854;923;6
376;825;47
2519;135;88
2945;1622;29
953;268;70
2628;1479;11
2097;981;52
890;1846;93
2139;1806;34
2421;1007;75
2290;1810;16
1115;1052;57
2588;302;98
327;265;39
241;341;80
1917;687;21
2991;792;62
2573;599;3
19;674;44
3911;1673;85
872;1559;26
2863;558;67
929;1766;8
839;620;49
3893;102;90
2178;1619;31
3822;899;72
378;1048;13
1178;100;54
2599;901;95
3416;143;36
2961;1605;77
611;1384;18
3113;885;59
2597;1830;100
2586;1286;41
161;906;82
1429;134;23
742;1025;64
1625;1651;5
1187;706;46
1787;1009;87
22;987;28
3640;43;69
3756;882;10
776;392;51
1724;1642;92
198;1810;33
3950;1558;74
3477;949;15
91;1732;56
3972;329;97
198;1632;38
1806;733;79
538;1023;20
3430;1088;61
2186;766;2
1513;1646;43
2143;1611;84
53;1657;25
3404;1307;66
1034;1344;7
2823;376;48
3104;1931;89
3232;324;30
2790;1457;71
374;9;12
741;146;53
3083;1938;94
3502;1067;35
1280;237;76
3326;1846;17
217;38;58
2503;1172;99
3527;41;40
739;1850;81
3548;1999;22
48;154;63
1419;872;4
1689;1223;45
3468;1404;86
1628;253;27
382;872;68
3029;1242;9
3646;1758;50
285;1029;91
1782;93;32
1067;371;73
2849;1214;14
920;1835;55
1741;712;96
876;220;37
2753;283;78
2609;1286;19
3941;258;60
3613;523;1
1754;559;42
2916;1724;83
2445;1820;24
1380;939;0
