n;263
m;2
tmax;594.5
-99;-97;0
-59;50;56
0;14;97
-17;-66;38
-69;-19;79
31;12;20
5;-41;61
-12;10;2
-64;70;43
-12;85;84
-18;64;25
-77;-16;66
-53;88;7
83;-24;48
24;41;89
17;21;30
42;96;71
-65;0;12
-47;-26;53
85;36;94
-35;-54;35
54;-21;76
64;-17;17
55;89;58
17;-25;99
-61;66;40
-61;26;81
17;-72;22
79;38;63
-62;-2;4
-90;-68;45
52;66;86
-54;-50;27
8;-84;68
37;-90;9
-83;49;50
35;-1;91
7;59;32
12;48;73
57;95;14
92;28;55
-3;97;96
-7;52;37
42;-15;78
77;-43;19
59;-49;60
25;91;1
69;-19;42
-82;-14;83
74;-70;24
69;59;65
29;33;6
-97;9;47
-58;9;88
28;93;29
7;73;70
-28;73;11
-76;55;52
41;42;93
92;40;34
-84;-29;75
-12;42;16
51;-45;57
-37;46;98
-97;35;39
14;89;80
60;58;21
-63;-75;62
-18;34;3
-46;-82;44
-86;-79;85
-43;-30;26
-44;7;67
-3;-20;8
36;41;49
-30;-94;90
79;-62;31
51;70;72
-61;-26;13
6;94;54
-19;-62;95
-20;51;36
-81;37;77
7;31;18
52;12;59
83;-91;100
-7;-92;41
82;-74;82
-70;85;23
-83;-30;64
71;-61;5
85;11;46
66;-48;87
78;-87;28
9;-79;69
-36;4;10
66;39;51
92;-17;92
-46;-79;33
-30;-63;74
-42;63;15
20;42;56
15;98;97
1;-17;38
64;20;79
-96;85;20
93;-29;61
-40;-84;2
86;35;43
91;36;84
62;-8;25
-24;4;66
11;96;7
-53;62;48
-28;-71;89
7;-4;30
95;-9;71
-3;17;12
53;-90;53
58;-19;94
-83;84;35
-1;49;76
-4;17;17
-82;-3;58
-43;47;99
6;-6;40
70;99;81
68;-29;22
-94;-30;63
-94;-20;4
-21;77;45
64;37;86
-70;-19;27
88;65;68
2;29;9
33;57;50
-70;6;91
-38;-56;32
-80;-95;73
-5;-39;14
8;-22;55
-61;-76;96
76;-22;37
49;-71;78
-30;-68;19
1;34;60
77;79;1
-58;64;42
82;-97;83
-80;55;24
81;-86;65
39;-49;6
-67;72;47
-25;-89;88
-44;-95;29
32;-68;70
-17;49;11
93;49;52
99;81;93
10;-49;34
63;-41;75
38;39;16
-28;39;57
-2;-47;98
38;8;39
-42;-6;80
-67;88;21
19;93;62
40;27;3
-61;56;44
43;33;85
-18;-39;26
-69;19;67
75;-18;8
31;85;49
25;58;90
-16;36;31
91;15;72
60;-39;13
49;-47;54
42;33;95
16;-81;36
-78;53;77
53;-80;18
-46;-26;59
-25;-54;100
69;-46;41
0;-78;82
-84;74;23
-16;16;64
-63;-14;5
51;-77;46
-39;61;87
5;97;28
-55;39;69
70;-14;10
0;95;51
-45;7;92
38;-24;33
50;-37;74
59;71;15
-73;-96;56
-29;72;97
-47;12;38
-88;-61;79
-88;36;20
-46;-3;61
26;-37;2
-39;-67;43
92;27;84
-80;-31;25
93;-50;66
-20;-5;7
-22;73;48
-4;-7;89
54;-48;30
-70;39;71
54;-82;12
29;41;53
-87;51;94
-96;-36;35
49;8;76
-5;54;17
-26;43;58
-11;60;99
40;61;40
82;35;81
-92;12;22
-93;-86;63
-66;63;4
-72;-87;45
-57;-84;86
23;52;27
-56;-62;68
-19;59;9
63;-14;50
-13;38;91
-19;87;32
44;-84;73
98;-17;14
-16;62;55
3;66;96
26;22;37
-38;-81;78
70;80;19
17;-35;60
96;-83;1
-77;80;42
-14;44;83
-33;33;24
33;-33;65
70;0;6
-50;60;47
-50;-60;88
75;0;29
0;75;70
-75;0;11
0;-75;52
40;80;93
40;-80;34
-60;20;75
-60;-20;16
-99;-97;0
