n;263
m;4
tmax;297.25
-99;-97;0
-59;50;1
0;14;1
-17;-66;1
-69;-19;1
31;12;1
5;-41;1
-12;10;1
-64;70;1
-12;85;1
-18;64;1
-77;-16;1
-53;88;1
83;-24;1
24;41;1
17;21;1
42;96;1
-65;0;1
-47;-26;1
85;36;1
-35;-54;1
54;-21;1
64;-17;1
55;89;1
17;-25;1
-61;66;1
-61;26;1
17;-72;1
79;38;1
-62;-2;1
-90;-68;1
52;66;1
-54;-50;1
8;-84;1
37;-90;1
-83;49;1
35;-1;1
7;59;1
12;48;1
57;95;1
92;28;1
-3;97;1
-7;52;1
42;-15;1
77;-43;1
59;-49;1
25;91;1
69;-19;1
-82;-14;1
74;-70;1
69;59;1
29;33;1
-97;9;1
-58;9;1
28;93;1
7;73;1
-28;73;1
-76;55;1
41;42;1
92;40;1
-84;-29;1
-12;42;1
51;-45;1
-37;46;1
-97;35;1
14;89;1
60;58;1
-63;-75;1
-18;34;1
-46;-82;1
-86;-79;1
-43;-30;1
-44;7;1
-3;-20;1
36;41;1
-30;-94;1
79;-62;1
51;70;1
-61;-26;1
6;94;1
-19;-62;1
-20;51;1
-81;37;1
7;31;1
52;12;1
83;-91;1
-7;-92;1
82;-74;1
-70;85;1
-83;-30;1
71;-61;1
85;11;1
66;-48;1
78;-87;1
9;-79;1
-36;4;1
66;39;1
92;-17;1
-46;-79;1
-30;-63;1
-42;63;1
20;42;1
15;98;1
1;-17;1
64;20;1
-96;85;1
93;-29;1
-40;-84;1
86;35;1
91;36;1
62;-8;1
-24;4;1
11;96;1
-53;62;1
-28;-71;1
7;-4;1
95;-9;1
-3;17;1
53;-90;1
58;-19;1
-83;84;1
-1;49;1
-4;17;1
-82;-3;1
-43;47;1
6;-6;1
70;99;1
68;-29;1
-94;-30;1
-94;-20;1
-21;77;1
64;37;1
-70;-19;1
88;65;1
2;29;1
33;57;1
-70;6;1
-38;-56;1
-80;-95;1
-5;-39;1
8;-22;1
-61;-76;1
76;-22;1
49;-71;1
-30;-68;1
1;34;1
77;79;1
-58;64;1
82;-97;1
-80;55;1
81;-86;1
39;-49;1
-67;72;1
-25;-89;1
-44;-95;1
32;-68;1
-17;49;1
93;49;1
99;81;1
10;-49;1
63;-41;1
38;39;1
-28;39;1
-2;-47;1
38;8;1
-42;-6;1
-67;88;1
19;93;1
40;27;1
-61;56;1
43;33;1
-18;-39;1
-69;19;1
75;-18;1
31;85;1
25;58;1
-16;36;1
91;15;1
60;-39;1
49;-47;1
42;33;1
16;-81;1
-78;53;1
53;-80;1
-46;-26;1
-25;-54;1
69;-46;1
0;-78;1
-84;74;1
-16;16;1
-63;-14;1
51;-77;1
-39;61;1
5;97;1
-55;39;1
70;-14;1
0;95;1
-45;7;1
38;-24;1
50;-37;1
59;71;1
-73;-96;1
-29;72;1
-47;12;1
-88;-61;1
-88;36;1
-46;-3;1
26;-37;1
-39;-67;1
92;27;1
-80;-31;1
93;-50;1
-20;-5;1
-22;73;1
-4;-7;1
54;-48;1
-70;39;1
54;-82;1
29;41;1
-87;51;1
-96;-36;1
49;8;1
-5;54;1
-26;43;1
-11;60;1
40;61;1
82;35;1
-92;12;1
-93;-86;1
-66;63;1
-72;-87;1
-57;-84;1
23;52;1
-56;-62;1
-19;59;1
63;-14;1
-13;38;1
-19;87;1
44;-84;1
98;-17;1
-16;62;1
3;66;1
26;22;1
-38;-81;1
70;80;1
17;-35;1
96;-83;1
-77;80;1
-14;44;1
-33;33;1
33;-33;1
70;0;1
-50;60;1
-50;-60;1
75;0;1
0;75;1
-75;0;1
0;-75;1
40;80;1
40;-80;1
-60;20;1
-60;-20;1
-99;-97;0
