n;265
m;4
tmax;6142
3425;6450;0
3625;3200;56
3525;3200;97
3525;3350;38
3625;3350;79
3725;3350;20
3725;3650;61
3625;3650;2
3525;3650;43
3525;3850;84
3625;3850;25
3725;3850;66
3725;4150;7
3625;4150;48
3525;4150;89
3525;4350;30
3625;4350;71
3725;4350;12
3725;4650;53
3625;4650;94
3525;4650;35
3525;4850;76
3625;4850;17
3725;4850;58
3725;5150;99
3625;5150;40
3525;5150;81
3525;5350;22
3625;5350;63
3725;5350;4
3725;5650;45
3625;5650;86
3525;5650;27
3525;5850;68
3625;5850;9
3725;5850;50
3725;6150;91
3625;6150;32
3525;6150;73
3525;6450;14
3525;6650;55
3675;7150;96
3675;7500;37
3675;7700;78
3675;7850;19
3675;8050;60
3525;8300;1
3625;8300;42
3725;8300;83
3725;8600;24
3625;8600;65
3525;8600;6
3825;8750;47
3925;8750;88
3925;8600;29
3825;8600;70
3825;8300;11
3925;8300;52
3925;7600;93
3925;6150;34
3825;6150;75
3825;5850;16
3925;5850;57
3925;5650;98
3825;5650;39
3825;5350;80
3925;5350;21
3925;5150;62
3825;5150;3
3825;4850;44
3925;4850;85
3925;4650;26
3825;4650;67
3825;4350;8
3925;4350;49
3925;4150;90
3825;4150;31
3825;3850;72
3925;3850;13
3925;3650;54
3825;3650;95
3825;3350;36
3925;3350;77
3875;3200;18
4075;3200;59
4025;3350;100
4125;3350;41
4225;3350;82
4225;3650;23
4125;3650;64
4025;3650;5
4025;3850;46
4125;3850;87
4225;3850;28
4225;4150;69
4125;4150;10
4025;4150;51
4025;4350;92
4125;4350;33
4225;4350;74
4225;4650;15
4125;4650;56
4025;4650;97
4025;4850;38
4125;4850;79
4225;4850;20
4225;5150;61
4125;5150;2
4025;5150;43
4025;5350;84
4125;5350;25
4225;5350;66
4225;5650;7
4125;5650;48
4025;5650;89
4025;5850;30
4125;5850;71
4225;5850;12
4225;6150;53
4125;6150;94
4025;6150;35
4025;8300;76
4125;8300;17
4225;8300;58
4225;8600;99
4125;8600;40
4025;8600;81
4275;8850;22
4875;6100;63
4975;4050;4
4975;3900;45
4975;3750;86
9675;3200;27
9675;3350;68
9675;3650;9
9675;3850;50
9675;4150;91
9675;4350;32
9675;4650;73
9675;4850;14
9675;5150;55
9675;5350;96
9675;5650;37
9675;5850;78
9675;6150;19
9575;6450;60
9675;6450;1
9675;6650;42
9675;8300;83
9675;8600;24
9975;8750;65
9975;8600;6
9875;8600;47
9775;8600;88
9775;8300;29
9875;8300;70
9975;8300;11
9825;8050;52
9825;7850;93
9825;7700;34
9825;7500;75
9825;7150;16
9975;6150;57
9875;6150;98
9775;6150;39
9775;5850;80
9875;5850;21
9975;5850;62
9975;5650;3
9875;5650;44
9775;5650;85
9775;5350;26
9875;5350;67
9975;5350;8
9775;5150;49
9875;5150;90
9975;5150;31
9975;4850;72
9875;4850;13
9775;4850;54
9775;4650;95
9875;4650;36
9975;4650;77
9975;4350;18
9875;4350;59
9775;4350;100
9775;4150;41
9875;4150;82
9975;4150;23
9975;3850;64
9875;3850;5
9775;3850;46
9975;3650;87
9875;3650;28
9775;3650;69
9775;3350;10
9875;3350;51
9975;3350;92
9775;3200;33
10225;3200;74
10025;3200;15
10075;3350;56
10175;3350;97
10175;3650;38
10075;3650;79
10175;3850;20
10075;3850;61
10075;4150;2
10175;4150;43
10175;4350;84
10075;4350;25
10075;4650;66
10175;4650;7
10175;4850;48
10075;4850;89
10075;5150;30
10175;5150;71
10075;5350;12
10175;5350;53
10175;5650;94
10075;5650;35
10075;5850;76
10175;5850;17
10175;6150;58
10075;6150;99
10075;7600;40
10075;8300;81
10175;8300;22
10175;8600;63
10075;8600;4
10075;8750;45
10425;8850;86
10375;8600;27
10275;8600;68
10275;8300;9
10375;8300;50
10375;6150;91
10275;6150;32
10275;5850;73
10375;5850;14
10375;5650;55
10275;5650;96
10275;5350;37
10375;5350;78
10275;5150;19
10375;5150;60
10375;4850;1
10275;4850;42
10275;4650;83
10375;4650;24
10375;4350;65
10275;4350;6
10275;4150;47
10375;4150;88
10375;3850;29
10275;3850;70
10375;3650;11
10275;3650;52
10275;3350;93
10375;3350;34
11125;3750;75
11125;3900;16
11125;4050;57
11025;6100;98
3425;6450;0
