n;300
m;3
tmax;8032
2156;1639;0
2456;1639;5
2355;1640;3
2256;1640;2
2656;1640;8
2556;1639;6
2975;1725;12
3275;1600;16
3375;1600;18
3475;1600;19
3575;1600;21
3700;1600;23
3900;1625;25
3875;1775;25
4275;1625;31
4275;1725;31
4375;1675;32
4500;1675;34
4450;1750;33
4550;1750;35
4560;1565;35
4775;1725;38
4710;1565;37
4860;1565;39
5010;1565;41
5160;1565;43
5310;1565;46
5460;1565;48
5610;1565;50
6375;1575;61
6525;1575;63
6675;1575;65
6675;1725;65
6525;1725;63
6875;1575;68
7075;1575;71
7260;1575;73
7259;1576;73
7625;1775;79
7410;1575;76
7560;1575;78
7409;1576;76
7560;1576;78
7825;1675;81
7710;1575;80
7711;1575;80
7875;1575;82
7975;1575;84
8075;1575;85
8175;1575;86
8275;1575;88
8375;1575;89
8475;1575;91
8825;1625;96
8820;1928;96
8825;1825;96
7725;1825;80
7725;1975;80
7475;1975;77
7625;1925;79
7575;2075;78
7075;1975;71
6825;1925;67
6775;2075;67
6975;2075;70
6675;1925;65
6200;1975;58
6425;2075;62
6000;1975;56
6025;2075;56
5675;1825;51
5275;1825;45
5425;1825;47
5525;1825;49
5025;1825;42
4975;2025;41
5075;1925;42
5075;2075;43
4775;1875;38
4925;1925;40
4675;1950;37
4775;1975;38
4425;2050;33
4525;2050;35
4175;1950;30
4125;2050;29
4275;2050;31
3875;1900;25
3875;2075;26
3975;1975;27
3975;2075;27
2925;1875;12
2925;2150;14
4175;2150;30
4325;2150;32
4275;2225;32
4275;2325;32
4425;2150;34
4525;2150;35
4600;2225;36
4600;2325;37
4775;2125;39
5175;2325;45
5450;2375;49
6775;2225;67
7275;2275;74
7075;2175;71
7425;2325;76
7525;2375;78
7475;2175;77
7775;2350;81
7825;2175;82
7875;2350;83
8825;2225;96
8725;2375;95
8703;2197;94
8825;2425;96
8575;2450;93
8725;2525;95
8625;2600;94
8375;2600;90
8475;2600;92
7975;2475;84
8225;2500;88
8225;2600;88
8125;2575;87
7975;2625;85
7750;2650;82
5350;2400;47
5450;2525;49
5450;2675;50
5250;2400;46
5175;2475;45
5175;2675;46
5075;2575;44
4975;2525;43
5025;2675;44
4875;2675;42
4175;2425;31
4175;2625;33
3925;2450;28
3725;2450;26
3325;2450;21
2925;2425;16
2575;2525;14
2675;2525;15
2275;2525;13
2375;2525;14
2175;2525;13
2148;2786;17
2249;2786;17
2352;2786;17
2451;2785;17
2552;2785;18
2651;2787;18
2925;2925;22
3325;2900;25
3725;2900;29
3925;2900;32
4175;2925;35
4175;2725;33
4975;2825;44
5075;2775;45
5175;2875;47
5450;2825;50
5450;2925;51
6125;2875;60
6025;2875;59
7575;2875;80
7425;2875;78
7925;2875;85
7875;2775;84
7825;2925;84
7750;2800;82
8125;2775;87
8075;2875;87
8025;2775;86
8125;2975;88
7975;2975;86
8775;2825;97
8775;2925;97
8775;3025;97
8775;3125;97
8775;3275;98
8625;3225;96
8525;3225;94
8075;3075;87
7975;3275;87
7975;3075;86
7825;3125;84
7575;3075;81
7600;3175;81
7425;3275;79
7425;3125;79
7425;3025;78
7325;3225;78
6125;3025;61
6025;3175;60
5375;3250;52
5275;3250;51
5450;3025;52
5175;3150;49
5075;3275;48
4525;3200;41
4575;3125;41
4575;3025;40
4425;3200;40
4325;3200;39
4175;3200;37
4275;3125;37
4275;3025;37
3975;3275;35
3875;3275;34
2925;3198;25
2925;3475;29
3925;3475;37
3825;3475;36
3975;3375;36
4325;3575;42
4275;3300;39
4175;3400;39
4125;3300;37
4500;3300;42
4400;3300;40
4725;3525;46
4675;3400;44
4775;3375;45
5175;3300;50
4975;3325;47
5175;3475;51
5025;3450;49
5375;3525;54
5275;3525;53
6050;3375;61
5908;3574;61
6450;3375;67
6675;3325;69
6575;3525;69
6975;3525;74
6875;3325;72
6775;3425;71
7150;3325;76
7150;3475;76
7625;3525;83
7575;3425;82
7475;3525;81
7425;3425;80
7825;3525;86
7725;3525;84
7825;3375;85
7725;3375;84
8225;3425;91
8225;3325;90
8475;3525;95
8325;3525;93
8575;3325;95
8775;3700;100
8675;3800;99
8575;3700;97
8425;3625;94
8325;3625;93
8375;3775;94
8175;3625;91
8225;3775;92
8075;3775;90
8075;3675;90
7925;3775;88
7875;3675;87
7075;3675;77
7150;3750;78
6975;3725;75
6575;3750;70
6375;3750;68
5975;3750;63
5325;3775;55
5275;3675;54
5375;3675;55
5075;3800;52
5204;3772;54
4675;3675;47
4925;3800;51
4925;3675;50
4775;3675;48
4575;3675;46
4425;3675;44
4325;3725;43
3825;3650;38
3625;3750;37
3475;3750;36
3225;3750;34
3325;3750;35
3125;3725;33
2925;3725;32
2575;3675;30
2675;3675;31
2275;3675;30
2375;3675;30
2175;3675;30
4775;3225;44
2156;1639;0
