n;201
m;2
tmax;7359.5
3140;1401;0
556;1056;1
3675;1522;1
1182;1853;1
3595;111;1
962;1895;1
2030;1186;1
3507;1851;1
2642;1269;1
3438;901;1
3858;1472;1
2937;1568;1
376;1018;1
839;1355;1
706;1925;1
749;920;1
298;615;1
694;552;1
387;190;1
2801;695;1
3133;1143;1
1517;266;1
1538;224;1
844;520;1
2639;1239;1
3123;217;1
2489;1520;1
3834;1827;1
3417;1808;1
2938;543;1
71;1323;1
3245;1828;1
731;1741;1
2312;1270;1
2426;1851;1
380;478;1
2310;635;1
2830;775;1
3829;513;1
3684;445;1
171;514;1
627;1261;1
1490;1123;1
61;81;1
422;542;1
2698;1221;1
2372;127;1
177;1390;1
3084;748;1
1213;910;1
3;1817;1
1782;995;1
3896;742;1
1829;812;1
1286;550;1
3017;108;1
2132;1432;1
2000;1110;1
3317;1966;1
1729;1498;1
2408;1747;1
3292;152;1
193;1210;1
782;1462;1
2503;352;1
1697;1924;1
3821;147;1
3370;791;1
3162;367;1
3938;516;1
2741;1583;1
2330;741;1
3918;1088;1
1794;1589;1
2929;485;1
3453;1998;1
896;705;1
399;850;1
2614;195;1
2800;653;1
2630;20;1
563;1513;1
1090;1652;1
2009;1163;1
3876;1165;1
3084;774;1
1526;1612;1
1612;328;1
1423;1322;1
3058;1276;1
3782;1865;1
347;252;1
3904;1444;1
2191;1579;1
3220;1454;1
468;319;1
3611;1968;1
3114;1629;1
3515;1892;1
3060;155;1
2995;264;1
202;233;1
981;848;1
1346;408;1
781;670;1
1009;1001;1
2927;1777;1
2982;949;1
555;1121;1
464;1302;1
3452;637;1
571;1982;1
2656;128;1
1623;1723;1
2067;694;1
1725;927;1
3600;459;1
1109;1196;1
366;339;1
778;1282;1
386;1616;1
3918;1217;1
3332;1049;1
2597;349;1
811;1295;1
241;1069;1
2658;360;1
394;1944;1
3786;1862;1
264;36;1
2050;1833;1
3538;125;1
1646;1817;1
2993;624;1
547;25;1
3373;1902;1
460;267;1
3060;781;1
1828;456;1
1021;962;1
2347;388;1
3535;1112;1
1529;581;1
1203;385;1
1787;1902;1
2740;1101;1
555;1753;1
47;363;1
3935;540;1
3062;329;1
387;199;1
2901;920;1
931;512;1
1766;692;1
401;980;1
149;1629;1
2214;1977;1
3805;1619;1
1179;969;1
1017;333;1
2834;1512;1
634;294;1
1819;814;1
1393;859;1
1768;1578;1
3023;871;1
3248;1906;1
1632;1742;1
2223;990;1
3868;697;1
1541;354;1
2374;1944;1
1962;389;1
3007;1524;1
3220;1945;1
2356;1568;1
1604;706;1
2028;1736;1
2581;121;1
2221;1578;1
2944;632;1
1082;1561;1
997;942;1
2334;523;1
1264;1090;1
1699;1294;1
235;1059;1
2592;248;1
3642;699;1
3599;514;1
1766;678;1
240;619;1
1272;246;1
3503;301;1
80;1533;1
1677;1238;1
3766;154;1
3946;459;1
1994;1852;1
278;165;1
3140;1401;0
