n;137
m;2
tmax;24193
5300;1965;0
7275;1965;56
12450;1965;97
14425;1965;38
4118;2275;79
4743;2275;20
5935;2275;61
6560;2275;2
11268;2275;43
11893;2275;84
13085;2275;25
13710;2275;66
14425;2590;7
12450;2590;48
10250;2675;89
7275;2590;30
5300;2590;71
3100;2675;12
5300;2760;53
7275;2760;94
12450;2760;35
14425;2760;76
13710;3075;17
13085;3075;58
11893;3075;99
11268;3075;40
6560;3075;81
5935;3075;22
4743;3075;63
4118;3075;4
5300;3385;45
7275;3385;86
12450;3385;27
14425;3385;68
14425;4515;9
12450;4515;50
7275;4515;91
5300;4515;32
4118;4825;73
4743;4825;14
5935;4825;55
6560;4825;96
11268;4825;37
11893;4825;78
13085;4825;19
13710;4825;60
14425;5140;1
12450;5140;42
10250;5225;83
7275;5140;24
5300;5140;65
3100;5225;6
5300;5310;47
7275;5310;88
12450;5310;29
14425;5310;70
13710;5625;11
13085;5625;52
11893;5625;93
11268;5625;34
6560;5625;75
5935;5625;16
4743;5625;57
4118;5625;98
5300;5935;39
7275;5935;80
12450;5935;21
14425;5935;62
14425;7065;3
12450;7065;44
7275;7065;85
5300;7065;26
4118;7375;67
4743;7375;8
5935;7375;49
6560;7375;90
11268;7375;31
11893;7375;72
13085;7375;13
13710;7375;54
14425;7690;95
12450;7690;36
7275;7690;77
5300;7690;18
3100;7775;59
5300;7860;100
7275;7860;41
10250;7775;82
12450;7860;23
14425;7860;64
13710;8175;5
13085;8175;46
11893;8175;87
11268;8175;28
6560;8175;69
5935;8175;10
4743;8175;51
4118;8175;92
5300;8485;33
7275;8485;74
12450;8485;15
14425;8485;56
14425;9615;97
12450;9615;38
7275;9615;79
5300;9615;20
4118;9925;61
4743;9925;2
5935;9925;43
6560;9925;84
11268;9925;25
11893;9925;66
13085;9925;7
13710;9925;48
14425;10240;89
12450;10240;30
7275;10240;71
5300;10240;12
3100;10325;53
5300;10410;94
7275;10410;35
10250;10325;76
12450;10410;17
14425;10410;58
13710;10725;99
13085;10725;40
11893;10725;81
11268;10725;22
6560;10725;63
5935;10725;4
4743;10725;45
4118;10725;86
14425;11035;27
12450;11035;68
7275;11035;9
5300;11035;50
5300;1965;0
