n;401
m;3
tmax;2547
435.841;587.522;0
602.539;801.704;1
861.563;954.019;1
444.217;553.301;1
796.042;796.519;1
88.9064;838.954;1
233.569;850.798;1
476.864;203.976;1
406.271;601.839;1
954.573;785.053;1
593.326;968.644;1
946.1;432.995;1
83.0742;601.487;1
861.254;754.12;1
247.619;698.637;1
963.227;965.824;1
125.872;536.987;1
563.237;20.7366;1
55.259;619.092;1
691.414;576.653;1
237.167;707.298;1
583.448;609.201;1
404.171;942.218;1
15.771;614.642;1
20.0806;62.8968;1
196.656;613.862;1
913.249;428.902;1
828.34;584.111;1
49.6047;40.6059;1
271.361;736.904;1
979.153;716.97;1
489.418;957.946;1
817.106;281.12;1
332.771;466.52;1
278.353;945.623;1
168.54;974.806;1
806.139;537.748;1
445.404;306.86;1
306.696;552.626;1
555.492;359.315;1
156.444;178.995;1
140.141;704.084;1
963.235;442.629;1
460.829;255.503;1
385.534;487.846;1
931.464;198.146;1
279.893;896.021;1
331.283;923.481;1
33.5356;889.86;1
511.528;60.4103;1
232.874;327.742;1
870.562;747.862;1
126.307;27.0835;1
25.7158;384.711;1
550.99;317.71;1
421.545;669.856;1
699.395;641.832;1
30.6059;881.315;1
486.626;987.924;1
547.886;870.165;1
764.19;227.841;1
489.34;885.471;1
908.764;483.318;1
195.225;821.483;1
171.854;111.942;1
599.164;587.5;1
132.524;507.626;1
327.208;868.8;1
267.929;788.352;1
792.919;136.517;1
156.993;187.479;1
186.101;903.489;1
745.996;818.744;1
672.67;141.516;1
795.061;496.701;1
298.827;796.84;1
91.6001;378.018;1
917.898;105.225;1
370.272;274.581;1
789.206;738.168;1
800.35;158.589;1
748.357;537.031;1
486.979;88.5907;1
148.737;95.1072;1
231.984;10.131;1
972.905;220.419;1
40.56;259.589;1
192.47;292.712;1
24.0393;509.808;1
316.686;311.822;1
494.944;163.27;1
525.118;681.256;1
835.669;882.708;1
775.205;181.054;1
109.477;27.3525;1
653.011;671.869;1
628.285;197.058;1
1.94865;712.335;1
730.64;446.995;1
580.371;933.465;1
377.453;863.505;1
258.125;251.372;1
659.297;693.415;1
700.979;439.308;1
801.207;327.664;1
755.117;581.702;1
168.354;774.785;1
607.71;673.196;1
569.788;359.946;1
505.772;795.094;1
692.786;475.055;1
615.258;416.034;1
433.068;854.106;1
226.997;149.199;1
326.41;615.676;1
756.359;997.073;1
175.187;551.629;1
207.262;753.08;1
127.313;986.134;1
245.176;595.849;1
368.488;322.474;1
618.453;808.454;1
284.623;905.817;1
347.487;932.543;1
942.046;733.577;1
923.029;410.17;1
153.759;230.999;1
476.331;253.181;1
232.085;588.069;1
439.629;819.344;1
959.404;382.332;1
659.332;989.174;1
475.22;422.92;1
734.709;76.166;1
844.594;856.238;1
10.2508;829.527;1
359.094;688.825;1
901.1;207.153;1
607.208;778.844;1
682.389;84.7105;1
840.931;757.357;1
449.959;883.516;1
725.65;402.263;1
882.698;149.994;1
429.87;229.253;1
980.879;821.977;1
578.122;545.104;1
541.69;818.375;1
509.211;164.053;1
875.589;251.226;1
101.219;820.45;1
485.894;5.4797;1
134;228.874;1
167.243;943.593;1
156.372;445.891;1
267.979;69.0196;1
476.475;711.843;1
456.946;809.262;1
217.245;20.1127;1
165.471;811.813;1
381.612;457.549;1
310.765;220.815;1
2.19756;25.8493;1
135.318;579.262;1
257.714;332.927;1
678.108;546.502;1
176.011;611.721;1
560.389;331.015;1
416.783;521.535;1
852.354;420.312;1
850.689;321.301;1
745.771;57.0821;1
104.725;588.78;1
64.3447;87.0233;1
417.205;194.188;1
884.474;559.131;1
868.707;180.065;1
262.003;425.604;1
669.764;662.314;1
420.178;34.4287;1
424.972;239.973;1
615.069;4.82106;1
967.473;235.618;1
180.64;963.276;1
153.897;253.897;1
138.308;544.775;1
23.8826;240.295;1
701.018;43.4543;1
951.537;792.325;1
190.116;9.77048;1
347.579;997.518;1
331.085;8.82753;1
547.387;204.852;1
776.794;291.288;1
756.586;917.899;1
172.306;772.747;1
85.7052;33.6732;1
904.883;126.216;1
87.5416;389.28;1
21.9732;102.51;1
417.302;581.199;1
205.641;477.219;1
486.743;625.481;1
372.177;77.9249;1
117.937;480.467;1
295.533;923.189;1
879.339;967.331;1
889.914;107.701;1
636.977;852.552;1
382.491;96.1738;1
134.598;416.191;1
759.957;814.02;1
44.5069;940.863;1
244.594;473.987;1
642.573;589.53;1
228.193;537.552;1
645.769;36.6176;1
881.955;436.361;1
680.574;156.194;1
811.997;466.21;1
963.481;584.969;1
312.678;611.344;1
853.959;621.638;1
518.363;989.629;1
272.482;202.425;1
762.214;751.456;1
648.783;603.79;1
783.667;742.083;1
399.475;192.268;1
32.4988;938.751;1
814.209;436.493;1
291.053;292.049;1
607.013;13.6116;1
92.7453;433.967;1
769.072;182.917;1
175.856;408.861;1
344.656;388.185;1
227.183;343.604;1
491.148;328.614;1
25.5217;669.796;1
789.06;180.381;1
980.725;735.09;1
58.1823;207.452;1
195.262;304.483;1
543.707;996.057;1
557.17;378.511;1
256.513;606.643;1
805.435;372.793;1
462.037;417.062;1
818.209;629.891;1
415.46;823.742;1
203.288;280.22;1
325.896;907.59;1
512.472;906.526;1
826.909;802.719;1
374.105;494.356;1
599.164;619.972;1
327.353;384.372;1
360.033;175.038;1
809.911;758.316;1
260.672;213.383;1
934.248;685.015;1
176.023;365.196;1
606.972;355.066;1
667.645;810.279;1
852.864;824.65;1
746.32;56.0444;1
93.5555;531.101;1
