n;265
m;4
tmax;6142
3425;6450;0
3625;3200;1
3525;3200;1
3525;3350;1
3625;3350;1
3725;3350;1
3725;3650;1
3625;3650;1
3525;3650;1
3525;3850;1
3625;3850;1
3725;3850;1
3725;4150;1
3625;4150;1
3525;4150;1
3525;4350;1
3625;4350;1
3725;4350;1
3725;4650;1
3625;4650;1
3525;4650;1
3525;4850;1
3625;4850;1
3725;4850;1
3725;5150;1
3625;5150;1
3525;5150;1
3525;5350;1
3625;5350;1
3725;5350;1
3725;5650;1
3625;5650;1
3525;5650;1
3525;5850;1
3625;5850;1
3725;5850;1
3725;6150;1
3625;6150;1
3525;6150;1
3525;6450;1
3525;6650;1
3675;7150;1
3675;7500;1
3675;7700;1
3675;7850;1
3675;8050;1
3525;8300;1
3625;8300;1
3725;8300;1
3725;8600;1
3625;8600;1
3525;8600;1
3825;8750;1
3925;8750;1
3925;8600;1
3825;8600;1
3825;8300;1
3925;8300;1
3925;7600;1
3925;6150;1
3825;6150;1
3825;5850;1
3925;5850;1
3925;5650;1
3825;5650;1
3825;5350;1
3925;5350;1
3925;5150;1
3825;5150;1
3825;4850;1
3925;4850;1
3925;4650;1
3825;4650;1
3825;4350;1
3925;4350;1
3925;4150;1
3825;4150;1
3825;3850;1
3925;3850;1
3925;3650;1
3825;3650;1
3825;3350;1
3925;3350;1
3875;3200;1
4075;3200;1
4025;3350;1
4125;3350;1
4225;3350;1
4225;3650;1
4125;3650;1
4025;3650;1
4025;3850;1
4125;3850;1
4225;3850;1
4225;4150;1
4125;4150;1
4025;4150;1
4025;4350;1
4125;4350;1
4225;4350;1
4225;4650;1
4125;4650;1
4025;4650;1
4025;4850;1
4125;4850;1
4225;4850;1
4225;5150;1
4125;5150;1
4025;5150;1
4025;5350;1
4125;5350;1
4225;5350;1
4225;5650;1
4125;5650;1
4025;5650;1
4025;5850;1
4125;5850;1
4225;5850;1
4225;6150;1
4125;6150;1
4025;6150;1
4025;8300;1
4125;8300;1
4225;8300;1
4225;8600;1
4125;8600;1
4025;8600;1
4275;8850;1
4875;6100;1
4975;4050;1
4975;3900;1
4975;3750;1
9675;3200;1
9675;3350;1
9675;3650;1
9675;3850;1
9675;4150;1
9675;4350;1
9675;4650;1
9675;4850;1
9675;5150;1
9675;5350;1
9675;5650;1
9675;5850;1
9675;6150;1
9575;6450;1
9675;6450;1
9675;6650;1
9675;8300;1
9675;8600;1
9975;8750;1
9975;8600;1
9875;8600;1
9775;8600;1
9775;8300;1
9875;8300;1
9975;8300;1
9825;8050;1
9825;7850;1
9825;7700;1
9825;7500;1
9825;7150;1
9975;6150;1
9875;6150;1
9775;6150;1
9775;5850;1
9875;5850;1
9975;5850;1
9975;5650;1
9875;5650;1
9775;5650;1
9775;5350;1
9875;5350;1
9975;5350;1
9775;5150;1
9875;5150;1
9975;5150;1
9975;4850;1
9875;4850;1
9775;4850;1
9775;4650;1
9875;4650;1
9975;4650;1
9975;4350;1
9875;4350;1
9775;4350;1
9775;4150;1
9875;4150;1
9975;4150;1
9975;3850;1
9875;3850;1
9775;3850;1
9975;3650;1
9875;3650;1
9775;3650;1
9775;3350;1
9875;3350;1
9975;3350;1
9775;3200;1
10225;3200;1
10025;3200;1
10075;3350;1
10175;3350;1
10175;3650;1
10075;3650;1
10175;3850;1
10075;3850;1
10075;4150;1
10175;4150;1
10175;4350;1
10075;4350;1
10075;4650;1
10175;4650;1
10175;4850;1
10075;4850;1
10075;5150;1
10175;5150;1
10075;5350;1
10175;5350;1
10175;5650;1
10075;5650;1
10075;5850;1
10175;5850;1
10175;6150;1
10075;6150;1
10075;7600;1
10075;8300;1
10175;8300;1
10175;8600;1
10075;8600;1
10075;8750;1
10425;8850;1
10375;8600;1
10275;8600;1
10275;8300;1
10375;8300;1
10375;6150;1
10275;6150;1
10275;5850;1
10375;5850;1
10375;5650;1
10275;5650;1
10275;5350;1
10375;5350;1
10275;5150;1
10375;5150;1
10375;4850;1
10275;4850;1
10275;4650;1
10375;4650;1
10375;4350;1
10275;4350;1
10275;4150;1
10375;4150;1
10375;3850;1
10275;3850;1
10375;3650;1
10275;3650;1
10275;3350;1
10375;3350;1
11125;3750;1
11125;3900;1
11125;4050;1
11025;6100;1
3425;6450;0
