n;300
m;4
tmax;6024
2156;1639;0
2456;1639;56
2355;1640;97
2256;1640;38
2656;1640;79
2556;1639;20
2975;1725;61
3275;1600;2
3375;1600;43
3475;1600;84
3575;1600;25
3700;1600;66
3900;1625;7
3875;1775;48
4275;1625;89
4275;1725;30
4375;1675;71
4500;1675;12
4450;1750;53
4550;1750;94
4560;1565;35
4775;1725;76
4710;1565;17
4860;1565;58
5010;1565;99
5160;1565;40
5310;1565;81
5460;1565;22
5610;1565;63
6375;1575;4
6525;1575;45
6675;1575;86
6675;1725;27
6525;1725;68
6875;1575;9
7075;1575;50
7260;1575;91
7259;1576;32
7625;1775;73
7410;1575;14
7560;1575;55
7409;1576;96
7560;1576;37
7825;1675;78
7710;1575;19
7711;1575;60
7875;1575;1
7975;1575;42
8075;1575;83
8175;1575;24
8275;1575;65
8375;1575;6
8475;1575;47
8825;1625;88
8820;1928;29
8825;1825;70
7725;1825;11
7725;1975;52
7475;1975;93
7625;1925;34
7575;2075;75
7075;1975;16
6825;1925;57
6775;2075;98
6975;2075;39
6675;1925;80
6200;1975;21
6425;2075;62
6000;1975;3
6025;2075;44
5675;1825;85
5275;1825;26
5425;1825;67
5525;1825;8
5025;1825;49
4975;2025;90
5075;1925;31
5075;2075;72
4775;1875;13
4925;1925;54
4675;1950;95
4775;1975;36
4425;2050;77
4525;2050;18
4175;1950;59
4125;2050;100
4275;2050;41
3875;1900;82
3875;2075;23
3975;1975;64
3975;2075;5
2925;1875;46
2925;2150;87
4175;2150;28
4325;2150;69
4275;2225;10
4275;2325;51
4425;2150;92
4525;2150;33
4600;2225;74
4600;2325;15
4775;2125;56
5175;2325;97
5450;2375;38
6775;2225;79
7275;2275;20
7075;2175;61
7425;2325;2
7525;2375;43
7475;2175;84
7775;2350;25
7825;2175;66
7875;2350;7
8825;2225;48
8725;2375;89
8703;2197;30
8825;2425;71
8575;2450;12
8725;2525;53
8625;2600;94
8375;2600;35
8475;2600;76
7975;2475;17
8225;2500;58
8225;2600;99
8125;2575;40
7975;2625;81
7750;2650;22
5350;2400;63
5450;2525;4
5450;2675;45
5250;2400;86
5175;2475;27
5175;2675;68
5075;2575;9
4975;2525;50
5025;2675;91
4875;2675;32
4175;2425;73
4175;2625;14
3925;2450;55
3725;2450;96
3325;2450;37
2925;2425;78
2575;2525;19
2675;2525;60
2275;2525;1
2375;2525;42
2175;2525;83
2148;2786;24
2249;2786;65
2352;2786;6
2451;2785;47
2552;2785;88
2651;2787;29
2925;2925;70
3325;2900;11
3725;2900;52
3925;2900;93
4175;2925;34
4175;2725;75
4975;2825;16
5075;2775;57
5175;2875;98
5450;2825;39
5450;2925;80
6125;2875;21
6025;2875;62
7575;2875;3
7425;2875;44
7925;2875;85
7875;2775;26
7825;2925;67
7750;2800;8
8125;2775;49
8075;2875;90
8025;2775;31
8125;2975;72
7975;2975;13
8775;2825;54
8775;2925;95
8775;3025;36
8775;3125;77
8775;3275;18
8625;3225;59
8525;3225;100
8075;3075;41
7975;3275;82
7975;3075;23
7825;3125;64
7575;3075;5
7600;3175;46
7425;3275;87
7425;3125;28
7425;3025;69
7325;3225;10
6125;3025;51
6025;3175;92
5375;3250;33
5275;3250;74
5450;3025;15
5175;3150;56
5075;3275;97
4525;3200;38
4575;3125;79
4575;3025;20
4425;3200;61
4325;3200;2
4175;3200;43
4275;3125;84
4275;3025;25
3975;3275;66
3875;3275;7
2925;3198;48
2925;3475;89
3925;3475;30
3825;3475;71
3975;3375;12
4325;3575;53
4275;3300;94
4175;3400;35
4125;3300;76
4500;3300;17
4400;3300;58
4725;3525;99
4675;3400;40
4775;3375;81
5175;3300;22
4975;3325;63
5175;3475;4
5025;3450;45
5375;3525;86
5275;3525;27
6050;3375;68
5908;3574;9
6450;3375;50
6675;3325;91
6575;3525;32
6975;3525;73
6875;3325;14
6775;3425;55
7150;3325;96
7150;3475;37
7625;3525;78
7575;3425;19
7475;3525;60
7425;3425;1
7825;3525;42
7725;3525;83
7825;3375;24
7725;3375;65
8225;3425;6
8225;3325;47
8475;3525;88
8325;3525;29
8575;3325;70
8775;3700;11
8675;3800;52
8575;3700;93
8425;3625;34
8325;3625;75
8375;3775;16
8175;3625;57
8225;3775;98
8075;3775;39
8075;3675;80
7925;3775;21
7875;3675;62
7075;3675;3
7150;3750;44
6975;3725;85
6575;3750;26
6375;3750;67
5975;3750;8
5325;3775;49
5275;3675;90
5375;3675;31
5075;3800;72
5204;3772;13
4675;3675;54
4925;3800;95
4925;3675;36
4775;3675;77
4575;3675;18
4425;3675;59
4325;3725;100
3825;3650;41
3625;3750;82
3475;3750;23
3225;3750;64
3325;3750;5
3125;3725;46
2925;3725;87
2575;3675;28
2675;3675;69
2275;3675;10
2375;3675;51
2175;3675;92
4775;3225;33
2156;1639;0
