n;319
m;2
tmax;10522.5
63;71;0
94;71;1
142;370;1
173;1276;1
205;1213;1
213;69;1
244;69;1
276;630;1
283;732;1
362;69;1
394;69;1
449;370;1
480;1276;1
512;1213;1
528;157;1
583;630;1
591;732;1
638;654;1
638;496;1
638;314;1
638;142;1
669;142;1
677;315;1
677;496;1
677;654;1
709;654;1
709;496;1
709;315;1
701;142;1
764;220;1
811;189;1
843;173;1
858;370;1
890;1276;1
921;1213;1
992;630;1
1000;732;1
1197;1276;1
1228;1213;1
1276;205;1
1299;630;1
1307;732;1
1362;654;1
1362;496;1
1362;291;1
1425;654;1
1425;496;1
1425;291;1
1417;173;1
1488;291;1
1488;496;1
1488;654;1
1551;654;1
1551;496;1
1551;291;1
1614;291;1
1614;496;1
1614;654;1
1732;189;1
1811;1276;1
1843;1213;1
1913;630;1
1921;732;1
2087;370;1
2118;1276;1
2150;1213;1
2189;205;1
2220;189;1
2220;630;1
2228;732;1
2244;142;1
2276;315;1
2276;496;1
2276;654;1
2315;654;1
2315;496;1
2315;315;1
2331;142;1
2346;315;1
2346;496;1
2346;654;1
2362;142;1
2402;157;1
2402;220;1
2480;142;1
2496;370;1
2528;1276;1
2559;1213;1
2630;630;1
2638;732;1
2756;69;1
2787;69;1
2803;370;1
2835;1276;1
2866;1213;1
2906;69;1
2937;69;1
2937;630;1
2945;732;1
3016;1276;1
3055;69;1
3087;69;1
606;220;1
1165;370;1
1780;370;1
63;1402;1
94;1402;1
142;1701;1
173;2607;1
205;2544;1
213;1400;1
244;1400;1
276;1961;1
283;2063;1
362;1400;1
394;1400;1
449;1701;1
480;2607;1
512;2544;1
528;1488;1
583;1961;1
591;2063;1
638;1985;1
638;1827;1
638;1645;1
638;1473;1
669;1473;1
677;1646;1
677;1827;1
677;1985;1
709;1985;1
709;1827;1
709;1646;1
701;1473;1
764;1551;1
811;1520;1
843;1504;1
858;1701;1
890;2607;1
921;2544;1
992;1961;1
1000;2063;1
1197;2607;1
1228;2544;1
1276;1536;1
1299;1961;1
1307;2063;1
1362;1985;1
1362;1827;1
1362;1622;1
1425;1985;1
1425;1827;1
1425;1622;1
1417;1504;1
1488;1622;1
1488;1827;1
1488;1985;1
1551;1985;1
1551;1827;1
1551;1622;1
1614;1622;1
1614;1827;1
1614;1985;1
1732;1520;1
1811;2607;1
1843;2544;1
1913;1961;1
1921;2063;1
2087;1701;1
2118;2607;1
2150;2544;1
2189;1536;1
2220;1520;1
2220;1961;1
2228;2063;1
2244;1473;1
2276;1646;1
2276;1827;1
2276;1985;1
2315;1985;1
2315;1827;1
2315;1646;1
2331;1473;1
2346;1646;1
2346;1827;1
2346;1985;1
2362;1473;1
2402;1488;1
2402;1551;1
2480;1473;1
2496;1701;1
2528;2607;1
2559;2544;1
2630;1961;1
2638;2063;1
2756;1400;1
2787;1400;1
2803;1701;1
2835;2607;1
2866;2544;1
2906;1400;1
2937;1400;1
2937;1961;1
2945;2063;1
3016;2607;1
3055;1400;1
3087;1400;1
606;1551;1
1165;1701;1
1780;1701;1
63;2733;1
94;2733;1
142;3032;1
173;3938;1
205;3875;1
213;2731;1
244;2731;1
276;3292;1
283;3394;1
362;2731;1
394;2731;1
449;3032;1
480;3938;1
512;3875;1
528;2819;1
583;3292;1
591;3394;1
638;3316;1
638;3158;1
638;2976;1
638;2804;1
669;2804;1
677;2977;1
677;3158;1
677;3316;1
709;3316;1
709;3158;1
709;2977;1
701;2804;1
764;2882;1
811;2851;1
843;2835;1
858;3032;1
890;3938;1
921;3875;1
992;3292;1
1000;3394;1
1197;3938;1
1228;3875;1
1276;2867;1
1299;3292;1
1307;3394;1
1362;3316;1
1362;3158;1
1362;2953;1
1425;3316;1
1425;3158;1
1425;2953;1
1417;2835;1
1488;2953;1
1488;3158;1
1488;3316;1
1551;3316;1
1551;3158;1
1551;2953;1
1614;2953;1
1614;3158;1
1614;3316;1
1732;2851;1
1811;3938;1
1843;3875;1
1913;3292;1
1921;3394;1
2087;3032;1
2118;3938;1
2150;3875;1
2189;2867;1
2220;2851;1
2220;3292;1
2228;3394;1
2244;2804;1
2276;2977;1
2276;3158;1
2276;3316;1
2315;3316;1
2315;3158;1
2315;2977;1
2331;2804;1
2346;2977;1
2346;3158;1
2346;3316;1
2362;2804;1
2402;2819;1
2402;2882;1
2480;2804;1
2496;3032;1
2528;3938;1
2559;3875;1
2630;3292;1
2638;3394;1
2756;2731;1
2787;2731;1
2803;3032;1
2835;3938;1
2866;3875;1
2906;2731;1
2937;2731;1
2937;3292;1
2945;3394;1
3016;3938;1
3055;2731;1
3087;2731;1
606;2882;1
1165;3032;1
1780;3032;1
1417;-79;1
1496;-79;1
1693;4055;1
63;71;0
