n;401
m;3
tmax;2547
435.841;587.522;0
602.539;801.704;35
861.563;954.019;72
444.217;553.301;5
796.042;796.519;54
88.9064;838.954;55
233.569;850.798;43
476.864;203.976;50
406.271;601.839;5
954.573;785.053;72
593.326;968.644;53
946.1;432.995;69
83.0742;601.487;46
861.254;754.12;59
247.619;698.637;28
963.227;965.824;84
125.872;536.987;41
563.237;20.7366;75
55.259;619.092;49
691.414;576.653;33
237.167;707.298;30
583.448;609.201;20
404.171;942.218;46
15.771;614.642;54
20.0806;62.8968;86
196.656;613.862;31
913.249;428.902;65
828.34;584.111;51
49.6047;40.6059;86
271.361;736.904;29
979.153;716.97;72
489.418;957.946;48
817.106;281.12;63
332.771;466.52;21
278.353;945.623;51
168.54;974.806;61
806.139;537.748;48
445.404;306.86;36
306.696;552.626;18
555.492;359.315;33
156.444;178.995;64
140.141;704.084;41
963.235;442.629;70
460.829;255.503;43
385.534;487.846;15
931.464;198.146;81
279.893;896.021;45
331.283;923.481;46
33.5356;889.86;65
511.528;60.4103;69
232.874;327.742;43
870.562;747.862;60
126.307;27.0835;82
25.7158;384.711;59
550.99;317.71;38
421.545;669.856;11
699.395;641.832;35
30.6059;881.315;65
486.626;987.924;52
547.886;870.165;39
764.19;227.841;63
489.34;885.471;39
908.764;483.318;62
195.225;821.483;43
171.854;111.942;70
599.164;587.5;21
132.524;507.626;41
327.208;868.8;39
267.929;788.352;34
792.919;136.517;74
156.993;187.479;63
186.101;903.489;52
745.996;818.744;50
672.67;141.516;65
795.061;496.701;48
298.827;796.84;33
91.6001;378.018;52
917.898;105.225;88
370.272;274.581;41
789.206;738.168;50
800.35;158.589;73
748.357;537.031;41
486.979;88.5907;65
148.737;95.1072;73
231.984;10.131;79
972.905;220.419;84
40.56;259.589;66
192.47;292.712;49
24.0393;509.808;54
316.686;311.822;39
494.944;163.27;55
525.118;681.256;17
835.669;882.708;64
775.205;181.054;68
109.477;27.3525;83
653.011;671.869;30
628.285;197.058;56
1.94865;712.335;58
730.64;446.995;42
580.371;933.465;48
377.453;863.505;37
258.125;251.372;49
659.297;693.415;32
700.979;439.308;39
801.207;327.664;58
755.117;581.702;41
168.354;774.785;42
607.71;673.196;25
569.788;359.946;34
505.772;795.094;29
692.786;475.055;36
615.258;416.034;32
433.068;854.106;35
226.997;149.199;63
326.41;615.676;15
756.359;997.073;67
175.187;551.629;34
207.262;753.08;37
127.313;986.134;65
245.176;595.849;25
368.488;322.474;35
618.453;808.454;37
284.623;905.817;46
347.487;932.543;46
942.046;733.577;68
923.029;410.17;67
153.759;230.999;59
476.331;253.181;44
232.085;588.069;27
439.629;819.344;30
959.404;382.332;72
659.332;989.174;59
475.22;422.92;22
734.709;76.166;76
844.594;856.238;63
10.2508;829.527;63
359.094;688.825;17
901.1;207.153;77
607.208;778.844;33
682.389;84.7105;72
840.931;757.357;57
449.959;883.516;38
725.65;402.263;45
882.698;149.994;81
429.87;229.253;46
980.879;821.977;76
578.122;545.104;20
541.69;818.375;33
509.211;164.053;56
875.589;251.226;71
101.219;820.45;53
485.894;5.4797;75
134;228.874;60
167.243;943.593;58
156.372;445.891;41
267.979;69.0196;70
476.475;711.843;17
456.946;809.262;29
217.245;20.1127;78
165.471;811.813;45
381.612;457.549;19
310.765;220.815;50
2.19756;25.8493;91
135.318;579.262;39
257.714;332.927;40
678.108;546.502;32
176.011;611.721;34
560.389;331.015;37
416.783;521.535;9
852.354;420.312;58
850.689;321.301;64
745.771;57.0821;79
104.725;588.78;43
64.3447;87.0233;80
417.205;194.188;51
884.474;559.131;58
868.707;180.065;77
262.003;425.604;31
669.764;662.314;32
420.178;34.4287;71
424.972;239.973;45
615.069;4.82106;79
967.473;235.618;82
180.64;963.276;59
153.897;253.897;56
138.308;544.775;39
23.8826;240.295;69
701.018;43.4543;78
951.537;792.325;72
190.116;9.77048;81
347.579;997.518;54
331.085;8.82753;76
547.387;204.852;52
776.794;291.288;58
756.586;917.899;59
172.306;772.747;42
85.7052;33.6732;84
904.883;126.216;85
87.5416;389.28;52
21.9732;102.51;82
417.302;581.199;3
205.641;477.219;33
486.743;625.481;9
372.177;77.9249;66
117.937;480.467;43
295.533;923.189;47
879.339;967.331;75
889.914;107.701;85
636.977;852.552;43
382.491;96.1738;64
134.598;416.191;45
759.957;814.02;51
44.5069;940.863;68
244.594;473.987;29
642.573;589.53;27
228.193;537.552;28
645.769;36.6176;76
881.955;436.361;61
680.574;156.194;64
811.997;466.21;51
963.481;584.969;68
312.678;611.344;17
853.959;621.638;54
518.363;989.629;53
272.482;202.425;54
762.214;751.456;47
648.783;603.79;28
783.667;742.083;49
399.475;192.268;51
32.4988;938.751;69
814.209;436.493;53
291.053;292.049;43
607.013;13.6116;77
92.7453;433.967;49
769.072;182.917;68
175.856;408.861;41
344.656;388.185;29
227.183;343.604;42
491.148;328.614;34
25.5217;669.796;54
789.06;180.381;69
980.725;735.09;73
58.1823;207.452;69
195.262;304.483;48
543.707;996.057;55
557.17;378.511;31
256.513;606.643;24
805.435;372.793;55
462.037;417.062;23
818.209;629.891;50
415.46;823.742;31
203.288;280.22;50
325.896;907.59;44
512.472;906.526;42
826.909;802.719;58
374.105;494.356;15
599.164;619.972;22
327.353;384.372;30
360.033;175.038;54
809.911;758.316;53
260.672;213.383;53
934.248;685.015;65
176.023;365.196;44
606.972;355.066;37
667.645;810.279;42
852.864;824.65;62
746.32;56.0444;79
93.5555;531.101;45
818.774;606.902;50
746.616;491.772;42
231.083;960.553;55
683.546;930.491;55
431.006;685.786;13
709.83;561.077;36
452.184;663.382;10
384.806;812.568;30
886.343;4.94442;95
52.5835;271.001;64
152.733;951.553;60
808.889;763.527;53
775.352;780.347;50
178.085;519.553;35
988.743;256.46;83
114.258;377.412;50
236.126;494.214;29
314.339;438.079;25
273.595;173.028;57
49.9968;742.733;54
6.42906;353.95;63
540.007;528.659;16
786.058;432.582;50
995.164;77.7478;97
509.984;834.341;33
890.36;307.257;69
304.468;535.688;19
473.917;22.3053;73
868.559;484.797;57
91.7265;661.356;46
616.789;748.507;31
414.131;748.199;21
236.206;683.44;29
974.766;171.802;88
732.088;320.501;52
334.192;594.83;14
561.254;14.0532;76
33.0116;545.758;52
451.636;797.971;28
197.287;1.98716;81
236.339;400.124;36
747.866;360.265;50
430.779;816.476;30
21.823;256.845;68
344.638;230.393;48
754.786;929.344;60
257.178;178.95;58
233.293;789.181;37
109.638;555.178;42
818.496;388.539;56
438.962;136.901;58
344.937;837.515;35
920.634;460.336;65
950.473;33.9817;97
123.803;911.149;58
826.839;234.883;68
967.716;166.523;87
763.859;558.636;43
477.087;834.773;33
189.042;621.271;32
500.418;885.256;39
807.777;879.354;61
6.13562;122.624;82
680.526;979.535;60
752.455;173.084;67
740.572;359.87;49
494.045;199.61;51
225.447;556.169;28
782.186;687.569;47
559.929;171.432;56
463.399;711.7;17
99.6077;192.347;67
257.615;814.539;37
42.8894;926.489;67
172.907;173.232;63
483.206;814.332;30
537.144;893.849;42
2.99018;973.272;75
286.889;436.077;28
34.4571;282.052;65
382.173;228.74;47
407.053;857.824;35
957.659;25.5349;99
534.254;449.898;22
891.084;771.611;63
609.907;714.945;28
800.506;368.529;55
6.5945;196.999;75
122.621;436.923;45
517.93;649.464;14
235.387;41.3129;75
603.56;723.736;28
910.373;948.618;77
498.328;926.571;45
548.665;952.849;49
779.11;99.0186;77
582.097;75.6071;69
214.744;82.1886;71
560.439;622.937;17
693.672;555.594;34
90.496;16.7955;86
760.5;411.841;48
626.521;526.724;26
995.853;234.577;85
918.947;876.684;73
989.579;47.3211;100
377.688;314.408;36
961.419;413.034;71
825.413;709.361;53
827.455;580.479;51
35.7801;990.366;73
620.154;281.819;46
109.524;120.779;73
738.931;820.767;49
274.222;258.428;47
82.5408;643.565;46
592.712;764.167;31
724.782;471.166;40
778.131;902.453;60
885.712;666.382;59
26.8873;163.883;76
741.314;972.935;63
165.76;712.313;39
256.231;126.549;64
927.385;899.534;75
524.925;53.7248;70
72.1925;423.799;52
367.23;863.354;37
349.224;799.328;30
127.116;42.9147;81
587.637;139.566;61
22.8315;355.085;61
435.841;587.522;0
